67308	0	67494	2
67308	0	67311	2
67308	0	67312	2
67308	0	67421	2
67308	0	67325	1
67308	0	67360	1
73288	0	73934	0
73288	0	73784	1
73288	0	73919	2
73288	0	73297	1
73288	0	73710	1
29421	0	29598	2
29421	0	29515	2
29421	0	29428	1
29421	0	29475	0
29421	0	29490	0
29421	0	29509	0
41044	0	41052	2
41044	0	41045	1
41044	0	41067	1
41044	0	41046	0
41044	0	41047	0
36651	0	42979	1
36651	0	36653	2
36651	0	36672	2
36651	0	42873	2
36651	0	42912	2
54442	0	54464	0
54442	0	54446	2
54442	0	54443	2
54442	0	54444	2
54442	0	54462	1
54442	0	54453	1
2907	0	2935	2
2907	0	2914	2
2907	0	2915	2
2907	0	2909	2
2907	0	2908	2
2907	0	28215	1
2907	0	28200	1
57370	0	57372	2
57370	0	57392	2
57370	0	57371	2
57370	0	57396	1
57370	0	57385	1
57370	0	57400	1
57370	0	57449	1
28224	0	28228	2
28224	0	28236	1
28224	0	28353	1
28224	0	28225	1
28224	0	28334	1
12796	0	12797	1
12796	0	12803	2
12796	0	15084	2
12796	0	15052	1
12796	0	16564	1
16470	0	16472	2
16470	0	16471	1
16470	0	16490	1
16470	0	16488	0
16470	0	16552	0
65306	0	65353	1
65306	0	65345	2
65306	0	65495	2
65306	0	65371	1
65306	0	65352	1
65306	0	65350	1
52068	0	52142	2
52068	0	52100	2
52068	0	52077	2
52068	0	52072	1
52068	0	52109	1
52068	0	52122	1
52068	0	52135	1
31299	0	31311	2
31299	0	31307	2
31299	0	31339	2
31299	0	31400	2
31299	0	31365	2
78024	0	78775	2
78024	0	78032	1
78024	0	78035	1
78024	0	78044	1
78024	0	78625	0
8604	0	74440	1
8604	0	8615	2
8604	0	9011	2
8604	0	8607	2
8604	0	18240	1
8604	0	24708	1
8604	0	29513	1
22233	0	22236	2
22233	0	22265	2
22233	0	22244	2
22233	0	22280	1
22233	0	22242	1
22233	0	22241	0
22233	0	22268	0
42623	0	43512	2
42623	0	42651	2
42623	0	42626	2
42623	0	42629	2
42623	0	42641	1
